"customer_id","age_at_campaign","education","marital_status","income","dependents","customer_since","recency_days","wine_spend","fruit_spend","meat_spend","fish_spend","sweets_spend","gold_spend","total_spend","deals_purchases","web_purchases","catalog_purchases","store_purchases","total_purchases","web_visits_month","accepted_campaigns_total","previous_campaign_accepted","preferred_category","preferred_channel","historical_response","intent_segment","marketing_segment","baseline_lead_score","purchase_likelihood","suggested_action"
"8180","62","Master","Divorced","59354","2","2013-11-15","53","233","2","53","3","5","14","310","3","6","1","5","15","6","0","No","Wine","Web","0","Low Intent","Digitally Engaged","40","Low","Low-frequency awareness campaign with educational content"
"2569","27","Graduation","Married","17323","0","2012-10-10","38","3","14","17","6","1","5","46","1","1","0","3","5","8","0","No","Meat","Store","0","Low Intent","Standard Nurture","21","Low","Low-frequency awareness campaign with educational content"
"2114","68","PhD","Single","82800","0","2012-11-24","23","1006","22","115","59","68","45","1315","1","7","6","12","26","3","2","Yes","Wine","Store","1","High Intent","High Value Customer","79","High","Sales outreach with a premium personalized offer"
"9736","34","Graduation","Married","41850","2","2012-12-24","51","53","5","19","2","13","4","96","3","3","0","3","9","8","0","No","Wine","Web","0","Low Intent","Discount Sensitive","28","Low","Low-frequency awareness campaign with educational content"
"4939","68","Graduation","Together","37760","0","2012-08-31","20","84","5","38","150","12","28","317","2","4","1","6","13","7","0","No","Fish","Store","0","Low Intent","Standard Nurture","40","Low","Low-frequency awareness campaign with educational content"
"6565","65","Master","Married","76995","1","2013-03-28","91","1012","80","498","0","16","176","1782","2","11","4","9","26","5","1","Yes","Wine","Web","0","Medium Intent","High Value Customer","67","Medium","Nurture email with category-specific content and social proof"
"2278","29","Second Cycle","Single","33812","1","2012-11-03","86","4","17","19","30","24","39","133","2","2","1","3","8","6","0","No","Gold","Store","0","Low Intent","Dormant Customer","19","Low","Low-frequency awareness campaign with educational content"
"9360","32","Graduation","Married","37040","0","2012-08-08","41","86","2","73","69","38","48","316","1","4","2","5","12","8","0","No","Wine","Store","0","Low Intent","Standard Nurture","35","Low","Low-frequency awareness campaign with educational content"
"5376","35","Graduation","Married","2447","1","2013-01-06","42","1","1","1725","1","1","1","1730","15","0","28","0","43","1","0","No","Meat","Catalog","0","Medium Intent","Standard Nurture","54","Medium","Nurture email with category-specific content and social proof"
"1993","65","PhD","Married","58607","1","2012-12-23","63","867","0","86","0","0","19","972","3","2","3","9","17","8","1","Yes","Wine","Store","0","Medium Intent","Standard Nurture","54","Medium","Nurture email with category-specific content and social proof"
"4047","60","PhD","Married","65324","1","2014-01-11","0","384","0","102","21","32","5","544","3","6","2","9","20","4","0","No","Wine","Store","0","Medium Intent","Standard Nurture","59","Medium","Nurture email with category-specific content and social proof"
"1409","63","Graduation","Together","40689","1","2013-03-18","69","270","3","27","39","6","99","444","7","7","1","5","20","8","0","No","Wine","Web","0","Low Intent","Digitally Engaged","38","Low","Low-frequency awareness campaign with educational content"
"7892","45","Graduation","Single","18589","0","2013-01-02","89","6","4","25","15","12","13","75","2","2","1","3","8","7","0","No","Meat","Store","0","Low Intent","Dormant Customer","14","Low","Low-frequency awareness campaign with educational content"
"2404","38","Graduation","Married","53359","2","2013-05-27","4","173","4","30","3","6","41","257","4","5","1","4","14","7","0","No","Wine","Web","0","Medium Intent","Digitally Engaged","46","Medium","Nurture email with category-specific content and social proof"
"9422","25","Graduation","Married","38360","1","2013-05-31","26","36","2","42","20","21","10","131","2","2","1","4","9","3","0","No","Meat","Store","0","Low Intent","Standard Nurture","34","Low","Low-frequency awareness campaign with educational content"
"1966","49","PhD","Married","84618","0","2013-11-22","96","684","100","801","21","66","0","1672","1","6","9","10","26","2","1","Yes","Meat","Store","0","Medium Intent","High Value Customer","66","Medium","Nurture email with category-specific content and social proof"
"6864","25","Master","Divorced","10979","0","2014-05-22","34","8","4","10","2","2","4","30","2","3","0","3","8","5","0","No","Meat","Web","0","Low Intent","Standard Nurture","22","Low","Low-frequency awareness campaign with educational content"
"3033","51","Master","Together","38620","0","2013-05-11","56","112","17","44","34","22","89","318","1","2","5","3","11","3","0","No","Wine","Catalog","0","Low Intent","Standard Nurture","32","Low","Low-frequency awareness campaign with educational content"
"5710","44","Graduation","Together","40548","1","2012-10-10","31","110","0","5","2","0","3","120","2","2","1","4","9","5","1","Yes","Wine","Store","0","Low Intent","Standard Nurture","37","Low","Low-frequency awareness campaign with educational content"
"7373","62","PhD","Divorced","46610","2","2012-10-29","8","96","12","96","33","22","43","302","6","4","1","6","17","6","0","No","Meat","Store","1","Medium Intent","Discount Sensitive","48","Medium","Nurture email with category-specific content and social proof"
"8755","68","Master","Married","68657","0","2013-02-20","4","482","34","471","119","68","22","1196","1","3","5","9","18","7","0","No","Wine","Store","0","Medium Intent","High Value Customer","68","Medium","Nurture email with category-specific content and social proof"
"10738","63","Master","Single","49389","2","2013-08-29","55","40","0","19","2","1","3","65","1","2","0","3","6","7","0","No","Wine","Store","0","Low Intent","Standard Nurture","26","Low","Low-frequency awareness campaign with educational content"
"4339","44","PhD","Married","67353","1","2013-12-31","37","702","17","151","0","8","35","913","5","5","6","12","28","2","0","No","Wine","Store","0","Medium Intent","Standard Nurture","59","Medium","Nurture email with category-specific content and social proof"
"10755","38","Second Cycle","Married","23718","1","2013-09-02","76","6","3","14","15","7","36","81","3","3","1","2","9","7","0","No","Gold","Web","0","Low Intent","Discount Sensitive","19","Low","Low-frequency awareness campaign with educational content"
"8595","41","Graduation","Widow","42429","1","2014-02-11","99","55","0","6","2","0","4","67","2","1","1","3","7","5","0","No","Wine","Store","0","Low Intent","Dormant Customer","17","Low","Low-frequency awareness campaign with educational content"
"2968","71","PhD","Divorced","48948","0","2013-02-01","53","437","8","206","160","49","42","902","2","7","10","5","24","6","1","Yes","Wine","Catalog","1","Medium Intent","Digitally Engaged","54","Medium","Nurture email with category-specific content and social proof"
"8601","34","Graduation","Married","80011","1","2013-04-29","3","421","76","536","82","178","102","1395","2","8","6","5","21","4","0","No","Meat","Web","0","High Intent","High Value Customer","75","High","Sales outreach with a premium personalized offer"
"503","29","Master","Married","20559","1","2013-03-12","88","13","1","29","3","0","7","53","2","2","0","3","7","8","0","No","Meat","Store","0","Low Intent","Dormant Customer","13","Low","Low-frequency awareness campaign with educational content"
"8430","57","Graduation","Together","21994","1","2012-12-24","4","9","0","6","3","1","3","22","1","0","0","3","4","5","0","No","Wine","Store","0","Low Intent","Standard Nurture","27","Low","Low-frequency awareness campaign with educational content"
"2139","39","Master","Married","7500","1","2013-10-02","19","3","1","10","3","2","12","31","3","2","0","3","8","5","0","No","Gold","Store","0","Low Intent","Discount Sensitive","24","Low","Low-frequency awareness campaign with educational content"
"1371","38","Graduation","Single","79941","0","2014-06-28","72","123","164","266","227","30","174","984","1","2","4","9","16","1","0","No","Meat","Store","0","Medium Intent","Standard Nurture","53","Medium","Nurture email with category-specific content and social proof"
"9909","18","Second Cycle","Married","7500","0","2012-11-09","24","3","18","14","15","22","50","122","3","3","1","3","10","9","0","No","Gold","Web","1","Low Intent","Discount Sensitive","27","Low","Low-frequency awareness campaign with educational content"
"7286","46","Graduation","Together","41728","1","2013-05-24","92","13","6","15","3","5","13","55","1","2","0","2","5","10","0","No","Meat","Web","0","Low Intent","Dormant Customer","17","Low","Low-frequency awareness campaign with educational content"
"6566","60","PhD","Married","72550","2","2012-11-08","39","826","50","317","50","38","38","1319","9","5","2","12","28","8","0","No","Wine","Store","0","Medium Intent","High Value Customer","65","Medium","Nurture email with category-specific content and social proof"
"8614","57","Graduation","Widow","65486","1","2014-05-12","29","245","19","125","37","67","14","507","1","4","2","10","17","2","0","No","Wine","Store","0","Medium Intent","Standard Nurture","51","Medium","Nurture email with category-specific content and social proof"
"4114","50","Master","Married","79143","0","2012-08-11","2","650","37","780","27","167","32","1693","1","6","9","13","29","3","0","No","Meat","Store","0","High Intent","High Value Customer","80","High","Sales outreach with a premium personalized offer"
"1331","37","Graduation","Single","35790","1","2013-01-02","54","12","6","20","30","1","3","72","2","2","0","3","7","7","0","No","Fish","Store","0","Low Intent","Standard Nurture","24","Low","Low-frequency awareness campaign with educational content"
"2225","37","Graduation","Divorced","82582","0","2014-06-07","54","510","120","550","156","40","241","1617","1","4","9","7","21","1","2","Yes","Meat","Catalog","1","High Intent","High Value Customer","77","High","Sales outreach with a premium personalized offer"
"9381","36","Graduation","Married","66373","2","2013-06-12","57","328","9","124","12","24","109","606","7","4","2","10","23","3","0","No","Wine","Store","0","Medium Intent","Standard Nurture","50","Medium","Nurture email with category-specific content and social proof"
"6260","59","Master","Together","82384","0","2012-11-19","55","984","51","432","180","120","190","1957","1","3","10","13","27","1","1","Yes","Wine","Store","1","High Intent","High Value Customer","78","High","Sales outreach with a premium personalized offer"
"10383","48","Graduation","Divorced","70287","0","2013-04-02","30","295","35","482","121","120","40","1093","1","5","5","10","21","3","0","No","Meat","Store","1","Medium Intent","High Value Customer","63","Medium","Nurture email with category-specific content and social proof"
"7437","26","Graduation","Single","27938","1","2014-04-28","31","13","0","8","2","1","5","29","1","1","0","4","6","3","0","No","Wine","Store","0","Low Intent","Standard Nurture","25","Low","Low-frequency awareness campaign with educational content"
"8375","46","PhD","Married","55954","1","2014-03-03","63","447","0","28","0","0","43","518","3","8","2","6","19","7","0","No","Wine","Web","0","Low Intent","Digitally Engaged","43","Low","Low-frequency awareness campaign with educational content"
"6853","32","Master","Single","75777","0","2013-07-04","12","712","26","538","69","13","80","1438","1","3","6","11","21","1","2","Yes","Wine","Store","1","High Intent","High Value Customer","82","High","Sales outreach with a premium personalized offer"
"3076","39","Graduation","Together","66653","2","2012-09-07","18","452","18","102","16","18","6","612","4","4","2","12","22","3","0","No","Wine","Store","0","Medium Intent","Standard Nurture","57","Medium","Nurture email with category-specific content and social proof"
"1012","62","Graduation","Single","61823","1","2013-02-18","26","523","7","134","37","14","169","884","4","8","2","10","24","7","0","No","Wine","Store","0","Medium Intent","Digitally Engaged","58","Medium","Nurture email with category-specific content and social proof"
"6518","63","PhD","Widow","67680","1","2013-06-11","8","546","0","48","0","6","6","606","1","7","3","8","19","5","0","No","Wine","Store","0","Medium Intent","Digitally Engaged","58","Medium","Nurture email with category-specific content and social proof"
"4137","66","Graduation","Together","70666","0","2013-12-06","29","398","40","367","119","122","30","1076","1","7","4","4","16","4","0","No","Wine","Web","0","Medium Intent","High Value Customer","60","Medium","Nurture email with category-specific content and social proof"
"8082","43","Graduation","Married","25721","1","2013-05-21","75","1","3","6","3","6","15","34","1","1","1","2","5","7","0","No","Gold","Store","1","Low Intent","Standard Nurture","16","Low","Low-frequency awareness campaign with educational content"
"1386","47","Graduation","Together","32474","2","2014-05-11","0","10","0","1","0","0","0","11","1","1","0","2","4","7","0","No","Wine","Store","0","Low Intent","Standard Nurture","31","Low","Low-frequency awareness campaign with educational content"
"9369","35","Second Cycle","Single","88194","1","2014-03-19","19","688","14","309","201","24","38","1274","1","11","10","10","32","5","2","Yes","Wine","Web","1","High Intent","High Value Customer","80","High","Sales outreach with a premium personalized offer"
"4477","56","Graduation","Together","69096","1","2013-09-27","4","247","49","159","7","82","109","653","1","5","2","10","18","4","0","No","Wine","Store","0","Medium Intent","Standard Nurture","60","Medium","Nurture email with category-specific content and social proof"
"1357","44","Graduation","Together","74854","3","2013-04-08","90","856","59","487","58","29","73","1562","7","2","5","5","19","5","0","No","Wine","Catalog","0","Medium Intent","Dormant Customer","58","Medium","Nurture email with category-specific content and social proof"
"1402","60","Master","Married","66991","0","2012-09-11","1","496","36","460","189","60","12","1253","3","4","8","6","21","3","0","No","Wine","Catalog","0","High Intent","High Value Customer","71","High","Sales outreach with a premium personalized offer"
"6312","55","Graduation","Married","65031","1","2013-03-17","29","258","107","291","84","37","86","863","4","10","3","13","30","7","0","No","Meat","Store","0","Medium Intent","Digitally Engaged","58","Medium","Nurture email with category-specific content and social proof"
"8132","39","PhD","Married","60631","2","2013-04-05","88","565","6","65","0","6","19","661","5","9","2","8","24","7","1","Yes","Wine","Web","0","Medium Intent","Digitally Engaged","46","Medium","Nurture email with category-specific content and social proof"
"1050","62","Graduation","Married","28332","0","2014-04-30","58","14","10","13","4","15","9","65","1","2","1","4","8","2","0","No","Sweets","Store","0","Low Intent","Standard Nurture","22","Low","Low-frequency awareness campaign with educational content"
"5846","37","Graduation","Divorced","40246","1","2012-12-19","68","2","1","6","2","1","1","13","1","1","0","2","4","6","0","No","Meat","Store","0","Low Intent","Standard Nurture","19","Low","Low-frequency awareness campaign with educational content"
"1859","42","Master","Married","75251","0","2012-08-27","34","721","111","925","97","18","18","1890","1","7","6","5","19","5","0","No","Meat","Web","1","High Intent","High Value Customer","74","High","Sales outreach with a premium personalized offer"
"7503","38","Graduation","Single","75825","0","2012-10-12","40","1032","105","779","137","105","51","2209","0","5","8","9","22","4","1","Yes","Wine","Store","1","High Intent","High Value Customer","80","High","Sales outreach with a premium personalized offer"
"10401","38","Second Cycle","Together","26326","0","2013-09-04","12","1","0","5","0","3","9","18","1","0","0","3","4","3","0","No","Gold","Store","0","Low Intent","Standard Nurture","28","Low","Low-frequency awareness campaign with educational content"
"1618","49","Graduation","Together","56046","0","2013-01-02","9","577","0","64","0","0","51","692","2","10","1","8","21","8","1","Yes","Wine","Web","1","Medium Intent","Digitally Engaged","61","Medium","Nurture email with category-specific content and social proof"
"3332","29","Graduation","Single","29760","1","2012-08-29","87","64","4","68","7","5","17","165","4","3","1","4","12","8","0","No","Meat","Store","0","Low Intent","Discount Sensitive","21","Low","Low-frequency awareness campaign with educational content"
"2261","45","Graduation","Married","26304","1","2013-06-23","5","4","1","5","2","0","4","16","1","1","0","2","4","7","0","No","Meat","Store","0","Low Intent","Standard Nurture","29","Low","Low-frequency awareness campaign with educational content"
"5346","41","Second Cycle","Married","23559","1","2013-07-03","87","25","5","19","7","0","23","79","3","3","0","3","9","7","0","No","Wine","Web","0","Low Intent","Discount Sensitive","17","Low","Low-frequency awareness campaign with educational content"
"4119","51","Master","Together","38620","0","2013-05-11","56","112","17","44","34","22","89","318","1","2","5","3","11","3","0","No","Wine","Catalog","0","Low Intent","Standard Nurture","32","Low","Low-frequency awareness campaign with educational content"
"535","27","Graduation","Divorced","81361","0","2014-02-25","18","163","23","424","27","65","76","778","1","3","10","13","27","1","0","No","Meat","Store","0","Medium Intent","Standard Nurture","63","Medium","Nurture email with category-specific content and social proof"
"5268","54","Graduation","Married","29440","2","2013-08-11","95","17","8","14","10","4","3","56","2","1","0","4","7","7","0","No","Wine","Store","0","Low Intent","Dormant Customer","14","Low","Low-frequency awareness campaign with educational content"
"273","44","Master","Married","36138","2","2013-07-16","48","130","0","16","0","0","5","151","5","3","1","4","13","7","1","Yes","Wine","Store","0","Low Intent","Discount Sensitive","35","Low","Low-frequency awareness campaign with educational content"
"4452","57","Graduation","Single","50388","1","2014-05-28","3","292","6","37","0","3","34","372","4","6","1","6","17","7","2","Yes","Wine","Web","1","Medium Intent","Digitally Engaged","59","Medium","Nurture email with category-specific content and social proof"
"8504","41","Graduation","Married","79593","0","2014-05-12","70","350","60","568","110","133","145","1366","1","5","6","7","19","2","1","Yes","Meat","Store","0","Medium Intent","High Value Customer","64","Medium","Nurture email with category-specific content and social proof"
"771","47","Graduation","Together","54178","1","2014-01-21","79","135","9","39","4","0","7","194","1","2","2","5","10","2","0","No","Wine","Store","0","Low Intent","Standard Nurture","29","Low","Low-frequency awareness campaign with educational content"
"11178","42","Master","Single","42394","1","2014-03-23","69","15","2","10","0","1","4","32","1","1","0","3","5","7","0","No","Wine","Store","0","Low Intent","Standard Nurture","21","Low","Low-frequency awareness campaign with educational content"
"2230","44","PhD","Married","23626","1","2014-05-24","84","27","2","14","0","0","0","43","3","3","1","3","10","5","0","No","Wine","Web","0","Low Intent","Discount Sensitive","18","Low","Low-frequency awareness campaign with educational content"
"7516","31","Graduation","Married","30096","1","2014-05-22","30","5","3","11","12","5","9","45","1","2","0","3","6","6","0","No","Fish","Store","0","Low Intent","Standard Nurture","27","Low","Low-frequency awareness campaign with educational content"
"7247","54","Graduation","Widow","47916","1","2012-11-22","72","505","0","26","0","0","75","606","5","7","4","6","22","6","1","Yes","Wine","Web","0","Medium Intent","Digitally Engaged","46","Medium","Nurture email with category-specific content and social proof"
"11100","42","Graduation","Divorced","51813","2","2013-04-11","37","51","2","7","0","1","2","63","2","2","0","3","7","7","0","No","Wine","Store","0","Low Intent","Standard Nurture","32","Low","Low-frequency awareness campaign with educational content"
"4646","63","Second Cycle","Married","78497","0","2013-12-01","44","207","26","447","75","0","223","978","1","5","7","12","25","2","1","Yes","Meat","Store","0","Medium Intent","Standard Nurture","65","Medium","Nurture email with category-specific content and social proof"
"3037","31","PhD","Married","50150","0","2013-06-20","32","135","46","92","65","61","11","410","2","5","2","7","16","5","0","No","Wine","Store","0","Medium Intent","Digitally Engaged","45","Medium","Nurture email with category-specific content and social proof"
"1473","54","Second Cycle","Single","47823","1","2013-07-23","0","53","1","5","2","1","10","72","2","2","0","3","7","8","0","No","Wine","Store","0","Low Intent","Standard Nurture","38","Low","Low-frequency awareness campaign with educational content"
"1016","55","PhD","Single","34554","1","2014-03-30","43","41","1","6","2","0","5","55","2","2","0","3","7","6","0","No","Wine","Store","0","Low Intent","Standard Nurture","26","Low","Low-frequency awareness campaign with educational content"
"4518","35","Graduation","Together","85693","1","2013-04-20","59","386","172","183","185","132","111","1169","2","9","5","11","27","5","0","No","Wine","Store","0","Medium Intent","High Value Customer","62","Medium","Nurture email with category-specific content and social proof"
"9370","69","PhD","Married","65846","0","2013-05-17","68","562","81","276","80","40","81","1120","1","6","3","6","16","4","0","No","Wine","Web","0","Medium Intent","Standard Nurture","51","Medium","Nurture email with category-specific content and social proof"
"8908","55","Graduation","Married","87195","0","2014-05-08","35","217","76","690","50","26","38","1097","1","3","11","5","20","1","0","No","Meat","Catalog","1","Medium Intent","High Value Customer","66","Medium","Nurture email with category-specific content and social proof"
"8373","35","Basic","Together","24594","1","2013-12-10","94","1","3","6","10","0","9","29","1","1","0","3","5","5","0","No","Fish","Store","0","Low Intent","Dormant Customer","11","Low","Low-frequency awareness campaign with educational content"
"7533","50","Graduation","Married","49096","2","2013-09-24","15","144","1","32","2","1","7","187","4","4","1","4","13","7","0","No","Wine","Web","0","Low Intent","Discount Sensitive","42","Low","Low-frequency awareness campaign with educational content"
"2683","45","Graduation","Married","52413","2","2013-02-02","56","295","106","271","75","98","65","910","4","6","4","12","26","6","0","No","Wine","Store","0","Medium Intent","Digitally Engaged","51","Medium","Nurture email with category-specific content and social proof"
"3629","36","Graduation","Single","38557","1","2012-12-19","17","76","3","31","4","4","27","145","2","3","1","3","9","7","0","No","Wine","Web","0","Low Intent","Standard Nurture","36","Low","Low-frequency awareness campaign with educational content"
"10991","54","Master","Married","89058","0","2012-12-07","18","454","194","106","31","22","43","850","1","5","4","4","14","2","0","No","Wine","Web","0","Medium Intent","Standard Nurture","61","Medium","Nurture email with category-specific content and social proof"
"5077","35","Graduation","Together","77298","1","2013-11-02","46","425","115","292","23","35","79","969","1","6","6","11","24","3","0","No","Wine","Store","0","Medium Intent","Standard Nurture","60","Medium","Nurture email with category-specific content and social proof"
"7431","23","PhD","Single","68126","0","2012-11-10","40","1332","17","311","23","51","86","1820","1","7","4","5","17","9","1","Yes","Wine","Web","1","High Intent","High Value Customer","73","High","Sales outreach with a premium personalized offer"
"3267","51","Master","Together","57288","1","2014-06-25","27","527","0","21","0","0","60","608","3","8","1","8","20","6","1","Yes","Wine","Web","0","Medium Intent","Digitally Engaged","57","Medium","Nurture email with category-specific content and social proof"
"999","23","Graduation","Single","86037","0","2013-01-02","95","490","44","125","29","20","22","730","1","6","7","11","25","3","2","Yes","Wine","Store","1","Medium Intent","Dormant Customer","57","Medium","Nurture email with category-specific content and social proof"
"9215","34","PhD","Married","43974","1","2012-12-12","19","378","0","101","0","0","72","551","5","6","4","6","21","7","0","No","Wine","Web","0","Medium Intent","Digitally Engaged","50","Medium","Nurture email with category-specific content and social proof"
"2286","52","Graduation","Single","50785","2","2013-09-10","27","64","1","21","0","1","27","114","2","2","1","3","8","6","0","No","Wine","Store","0","Low Intent","Standard Nurture","36","Low","Low-frequency awareness campaign with educational content"
"1592","44","Graduation","Married","90765","0","2014-01-24","25","547","99","812","151","82","33","1724","0","4","6","5","15","1","2","Yes","Meat","Catalog","0","High Intent","High Value Customer","83","High","Sales outreach with a premium personalized offer"
"367","36","Second Cycle","Married","36550","1","2013-02-19","74","47","90","94","123","103","120","577","5","9","1","5","20","9","0","No","Fish","Web","0","Low Intent","Digitally Engaged","38","Low","Low-frequency awareness campaign with educational content"
"5234","47","Second Cycle","Together","30753","2","2013-07-11","85","12","5","25","0","9","30","81","2","1","1","3","7","5","0","No","Gold","Store","0","Low Intent","Dormant Customer","17","Low","Low-frequency awareness campaign with educational content"
"9862","45","Graduation","Together","21918","1","2013-11-14","37","1","6","7","11","5","3","33","2","2","0","3","7","6","0","No","Fish","Store","0","Low Intent","Standard Nurture","23","Low","Low-frequency awareness campaign with educational content"
"9805","61","Master","Together","56129","1","2013-06-20","65","320","48","133","39","72","48","660","4","6","2","10","22","4","0","No","Wine","Store","0","Medium Intent","Standard Nurture","46","Medium","Nurture email with category-specific content and social proof"
"6205","47","Master","Single","32557","1","2014-02-24","13","34","3","29","0","4","10","80","3","2","1","3","9","5","0","No","Wine","Store","1","Low Intent","Discount Sensitive","33","Low","Low-frequency awareness campaign with educational content"
"8442","29","Master","Married","19510","2","2013-09-04","63","9","0","7","3","4","7","30","2","1","0","3","6","7","0","No","Wine","Store","0","Low Intent","Standard Nurture","16","Low","Low-frequency awareness campaign with educational content"
"7386","38","Graduation","Divorced","30992","1","2013-04-22","83","17","0","14","7","3","2","43","1","1","0","3","5","7","0","No","Wine","Store","0","Low Intent","Dormant Customer","16","Low","Low-frequency awareness campaign with educational content"
"7215","31","Graduation","Single","101970","0","2013-03-12","69","722","27","102","44","72","168","1135","0","6","8","13","27","2","3","Yes","Wine","Store","1","High Intent","High Value Customer","73","High","Sales outreach with a premium personalized offer"
"1491","49","Second Cycle","Together","71488","0","2013-02-18","87","162","33","124","40","28","172","559","2","3","4","7","16","1","0","No","Gold","Store","0","Low Intent","Dormant Customer","41","Low","Low-frequency awareness campaign with educational content"
"11071","30","Graduation","Single","79607","0","2013-04-21","37","450","133","951","173","0","216","1923","1","3","6","6","16","1","0","No","Meat","Catalog","1","High Intent","High Value Customer","74","High","Sales outreach with a premium personalized offer"
"3381","61","Master","Married","54348","2","2014-06-08","51","70","0","16","0","0","4","90","2","2","0","4","8","6","0","No","Wine","Store","0","Low Intent","Standard Nurture","31","Low","Low-frequency awareness campaign with educational content"
"11051","58","PhD","Together","77376","2","2014-05-10","72","492","19","110","16","12","12","661","4","6","3","10","23","4","0","No","Wine","Store","0","Medium Intent","Standard Nurture","50","Medium","Nurture email with category-specific content and social proof"
"8026","62","Graduation","Married","62998","1","2013-09-30","10","120","58","73","65","89","58","463","5","5","4","5","19","5","0","No","Wine","Web","0","Medium Intent","Digitally Engaged","55","Medium","Nurture email with category-specific content and social proof"
"433","56","Master","Other","61331","2","2013-03-10","42","534","5","47","0","5","41","632","5","11","1","6","23","8","0","No","Wine","Web","0","Medium Intent","Digitally Engaged","51","Medium","Nurture email with category-specific content and social proof"
"9597","45","Graduation","Married","73448","0","2014-02-10","10","236","106","189","23","41","130","725","1","7","2","9","19","4","0","No","Wine","Store","0","Medium Intent","Standard Nurture","61","Medium","Nurture email with category-specific content and social proof"
"5290","50","PhD","Married","41551","2","2013-08-14","51","220","0","33","3","0","23","279","5","5","1","5","16","8","0","No","Wine","Web","0","Low Intent","Digitally Engaged","36","Low","Low-frequency awareness campaign with educational content"
"1685","47","PhD","Together","62981","0","2013-03-17","21","796","14","590","38","44","0","1482","1","4","5","13","23","3","1","Yes","Wine","Store","0","High Intent","High Value Customer","73","High","Sales outreach with a premium personalized offer"
"5342","38","Basic","Divorced","9548","1","2012-08-08","31","0","1","3","10","6","9","29","2","1","0","3","6","8","0","No","Fish","Store","0","Low Intent","Standard Nurture","20","Low","Low-frequency awareness campaign with educational content"
"9579","55","PhD","Married","33762","3","2013-07-07","61","53","1","34","2","0","16","106","3","2","2","2","9","8","0","No","Wine","Catalog","0","Low Intent","Discount Sensitive","25","Low","Low-frequency awareness campaign with educational content"
"7660","41","PhD","Other","35860","2","2014-05-19","37","15","0","8","4","2","20","49","2","1","1","2","6","5","1","Yes","Gold","Store","1","Low Intent","Standard Nurture","31","Low","Low-frequency awareness campaign with educational content"
"1461","49","PhD","Divorced","36921","2","2013-07-28","74","17","1","12","3","1","4","38","2","2","0","3","7","7","0","No","Wine","Store","0","Low Intent","Standard Nurture","20","Low","Low-frequency awareness campaign with educational content"
